15
12
22
4,14
7,11
5,0
13,2
14,3
7,1
14,0
12,7
6,4
13,7
11,5
12,7
3,7
5,6
0,5
12,1
3,7
13,6
5,5
0,13
14,0
2,6
6,1
14,2
1,0
11,4
3,5
4,14
0,4
14,4
13,14
9,2
0,3
8,3
12,5
3,5
1,13
10,3
5,9
11,9
13,9
0,5
3,9
13,8
8,8
8,0
2,6
0,12
6,6
3,6
7,3
14,9
13,7
2,4
13,10
3,8
6,3
13,8
11,13
11,0
8,11
0,9
7,14
10,1
12,0
0,2
6,0
4,5
13,12
4,2
2,9
2,7
8,10
0,0
3,5
13,11
7,9
7,0
11,3
9,2
6,14
7,12
11,2
5,14
1,4
1,12
4,5
9,5
6,3
7,2
10,4
11,11
1,9
8,11
1,10
9,2
3,11
2,8
6,1
2,1
6,4
2,13
3,11
9,11
11,8
0,3
9,11
9,6
2,8
2,3
10,5
4,3
10,14
12,9
9,9
0,7
4,1
2,10
1,14
5,12
6,10
10,3
5,5
7,2
11,10
0,3
6,12
0,2
0,9
2,6
2,6
8,7
2,12
6,7
11,0
3,4
14,13
2,14
6,8
9,10
6,11
4,12
7,5
8,11
7,3
0,12
12,2
8,11
6,1
7,13
6,9
6,7
1,2
0,0
14,1
9,1
0,9
4,3
3,7
9,10
3,3
12,3
14,0
14,0
13,2
2,13
10,5
10,1
7,14
14,9
14,6
0,7
1,10
11,13
0,10
9,12
14,14
3,7
0,5
7,9
3,12
12,12
13,12
8,10
11,14
3,3
2,14
7,12
8,1
2,8
2,7
0,6
3,8
13,11
8,14
6,9
5,12
11,5
7,9
3,13
13,2
13,9
6,1
0,1
9,13
4,5
0,6
8,14
14,1
3,8
4,5
5,9
11,12
2,11
11,11
5,8
6,8
12,3
8,5
12,1
8,3
0,1
2,12
0,8
13,4
12,2
10,1
10,8
8,1
8,14
14,2
13,1
11,5
10,6
6,8
7,11
6,7
11,11
5,4
0,8
6,3
4,6
11,12
9,2
1,5
14,11
9,10
9,9
10,1
6,8
2,6
1,6
5,11
5,8
1,10
2,12
2,5
1,5
7,0
5,1
6,12
4,8
12,0
1,6
